order_delivered_customer_date,total_revenue
October - 2016,34438.409999999996
November - 2016,11187.07
December - 2016,960.85
January - 2017,38708.63
February - 2017,228152.25
March - 2017,387275.32
April - 2017,307722.84
May - 2017,600917.76
June - 2017,502197.97
July - 2017,531271.71
August - 2017,627367.19
September - 2017,670205.77
October - 2017,759903.98
November - 2017,754668.98
December - 2017,1102367.45
January - 2018,993588.74
February - 2018,875514.19
March - 2018,1043754.61
April - 2018,1300791.67
May - 2018,1170501.14
June - 2018,1171206.79
July - 2018,948930.61
August - 2018,1347216.73
